<BC:06:2D:90:00:00;BC:06:2D:BF:FF:FF>
<BC:06:2D:E5:00:00;BC:06:2D:EF:FF:FF>
<BC:06:2D:E0:00:00;BC:06:2D:E1:D7:AD>
<BC:06:2D:E2:00:00;BC:06:2D:E2:B6:AB>
<BC:06:2D:E4:00:00;BC:06:2D:E4:72:D8>
<BC:06:2D:F2:00:00;BC:06:2D:F2:28:DC>
<BC:06:2D:F0:00:00;BC:06:2D:F0:3F:E5>
<44:68:0C:00:00:00;44:68:0C:FF:FF:FF>
<00:80:00:00:00:00;00:80:00:FF:FF:FF>
<00:81:00:00:00:00;00:81:00:FF:FF:FF>
